multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),AllD,AllD,3,200.0,200.0,0.0,0.0,200
Constant(1),AllD,Random,3,556.0,111.0,0.0,0.445,200
Constant(1),AllD,TfT,3,204.0,199.0,0.0,0.005,200
Constant(1),AllD,SuspiciousTfT,3,200.0,200.0,0.0,0.0,200
Constant(1),AllD,TFT2,3,208.0,198.0,0.0,0.01,200
Constant(1),AllD,Grim,3,204.0,199.0,0.0,0.005,200
Constant(1),AllD,GenerousTfT,3,288.0,178.0,0.0,0.11,200
Constant(1),AllD,ContriteTfT,3,204.0,199.0,0.0,0.005,200
Constant(1),AllD,Pavlov,3,600.0,100.0,0.0,0.5,200
Constant(1),Random,AllC,3,822.0,267.0,0.445,1.0,200
Constant(1),Random,AllD,3,111.0,556.0,0.445,0.0,200
Constant(1),Random,Random,3,378.0,378.0,0.445,0.445,200
Constant(1),Random,TfT,3,427.0,422.0,0.445,0.45,200
Constant(1),Random,SuspiciousTfT,3,423.0,423.0,0.445,0.445,200
Constant(1),Random,TFT2,3,588.0,353.0,0.445,0.68,200
Constant(1),Random,Grim,3,115.0,555.0,0.445,0.005,200
Constant(1),Random,GenerousTfT,3,482.0,402.0,0.445,0.525,200
Constant(1),Random,ContriteTfT,3,427.0,422.0,0.445,0.45,200
Constant(1),Random,Pavlov,3,458.0,418.0,0.445,0.485,200
Constant(1),TfT,AllC,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,AllD,3,199.0,204.0,0.005,0.0,200
Constant(1),TfT,Random,3,422.0,427.0,0.45,0.445,200
Constant(1),TfT,TfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,SuspiciousTfT,3,500.0,500.0,0.5,0.5,200
Constant(1),TfT,TFT2,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Grim,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,GenerousTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,ContriteTfT,3,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Pavlov,3,600.0,600.0,1.0,1.0,200
Constant(1),SuspiciousTfT,AllC,3,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,AllD,3,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,Random,3,423.0,423.0,0.445,0.445,200
Constant(1),SuspiciousTfT,TfT,3,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,SuspiciousTfT,3,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,TFT2,3,602.0,597.0,0.995,1.0,200
